filename,bpm,camelot_key,loudness
360 - Charli XCX.mp3,120.05,8B,7434.3
Zedd - I Want You To Know (feat. Selena Gomez).mp3,129.95,8B,11810.53
NOKIA - PARTYNEXTDOOR & DRAKE.mp3,106.1,7A,11366.32
Call Me Maybe - Carly Rae Jepsen.mp3,119.95,9B,6470.36
"WUSYANAME - Tyler, The Creator.mp3",142.12,6B,6821.62
Supernova - aespa.mp3,120.0,9A,10348.56
Boy’s a liar Pt. 2 - PinkPantheress & Ice Spice.mp3,132.91,7B,6577.17
Supernatural - New Jeans.mp3,109.03,3A,8939.92
3D (feat. Jack Harlow) - Jungkook.mp3,108.04,4A,10699.3
Magnetic - ILLIT.mp3,131.19,3B,8693.36
Out Of My League - Fitz And The Tantrums.mp3,172.27,8A,10076.82
Not Like Us - Kendrick Lamar.mp3,100.91,10A,16990.37
Icona Pop - I Love It (Feat. Charli XCX)  [Audio].mp3,126.03,3B,9343.88
Ric Flair Drip - Offset & Metro Boomin.mp3,99.97,1A,7816.09
Again -Fetty Wap.mp3,92.9,9A,11497.42
Yeah (ft. Ludacris & Lil_ Jon) - Usher.mp3,105.05,9B,10593.56
The Motto (feat. Lil Wayne) - Drake.mp3,101.03,11A,6553.75
Shake It Off (Taylor_s Version) - Taylor Swift.mp3,161.78,9B,7966.75
XXXTENTACION - Look at Me!.mp3,137.41,4A,4748.71
THRASH - ISOKNOCK.mp3,140.25,5A,14612.36
"Give Me Everything Ft. Ne-Yo, Afrojack, Nayer - Pitbull.mp3",129.01,5B,1875.53
Doja Cat - Agora Hills.mp3,122.99,1B,12882.76
Dynamite - Taio Cruz.mp3,119.83,12B,9595.51
Rockstar - LISA.mp3,140.03,5A,6427.6
Nice For What - Drake.mp3,124.75,3A,7097.29
STAY - Justin Bieber & The Kid Laroi.mp3,172.27,3B,7330.28
Starships - Nicki Minaj.mp3,124.31,10B,8544.94
Seven (Explicit Ver.) - Jungkook.mp3,125.02,1B,8389.74
Slide (feat. Frank Ocean & Migos) - Calvin Harris.mp3,103.94,12A,6012.29
Espresso - Sabrina Carpenter.mp3,104.09,8B,8845.71
"Timeless - The Weeknd, Playboi Carti.mp3",119.95,10A,12613.14
Runaway Baby - Bruno Mars.mp3,164.03,2A,8585.51
APT. - Rose and Bruno Mars.mp3,149.06,5A,8144.42
Don_t Stop Believin_ - Journey.mp3,118.41,12B,4829.01
Olivia Rodrigo - good 4 u.mp3,165.71,11B,7028.3
Perfect Night - LESSERAFIM.mp3,135.96,6A,8263.12
Party In The U.S.A - Miley Cyrus.mp3,95.95,2A,9458.28
Boyfriend - Justin Bieber.mp3,96.95,3A,2997.92
Taylor Swift - 22 (Audio).mp3,104.03,9B,6470.2
Pink Venom - Blackpink.mp3,90.03,9A,6000.47
